"FiscalYear","Provider","Borough","TotalSlots","TotalParticipants"
"2021","Ali Forney Center","Bronx","N/A","N/A"
"2021","Phipps Neighborhoods, Inc.","Bronx","N/A","N/A"
"2021","Forestdale, Inc","Queens","N/A","N/A"
"2021","Dominican Women's Development Center, Inc.","Manhattan","N/A","N/A"
"2021","The Door-A Center of Alternatives, Inc","Bronx","N/A","N/A"
"2021","HANAC INC","Queens","N/A","N/A"
"2021","Police Athletic League, Inc.","Bronx","N/A","N/A"
"2021","New York Junior Tennis League Inc","Queens","N/A","N/A"
"2021","Counseling in Schools Inc","Brooklyn","100","120"
"2021","Child Development Ctr of the Mosholu Montefiore Comm Center","Bronx","300","578"
"2021","New Immigrant Community Empowerment,Inc.","Queens","N/A","N/A"
"2021","Flatbush Development Corporation","Brooklyn","50","36"
"2021","Neighborhood Self-Help by Older Persons Projects, Inc.","Bronx","N/A","N/A"
"2021","Rabbinical College of Queeens","Queens","N/A","N/A"
"2021","Flatbush Development Corporation","Brooklyn","129","85"
"2021","SCAN-HARBOR INC","Manhattan","31","33"
"2021","New York Junior Tennis League Inc","Queens","120","138"
"2021","BronxWorks, Inc.","Bronx","90","91"
"2021","The Greater Ridgewood Youth Council, Inc.","Queens","150","172"
"2021","Council of Jewish Organizations of Flatbush Inc","Brooklyn","220","125"
"2021","Fort Greene Council, Inc.","Brooklyn","50","28"
"2021","Kingsbridge Heights Community Center Inc","Bronx","20","32"
"2021","Urban Justice Center","Manhattan","N/A","N/A"
"2021","Brighter Steps Enrichment Programs Inc","Bronx","60","42"
"2021","The Child Center of NY Inc","Queens","N/A","N/A"
"2021","Amity Little League, Inc.","Brooklyn","N/A","N/A"
"2021","Fifth Avenue Committee, Inc.","Brooklyn","N/A","N/A"
"2021","Childrens Arts & Science Workshops, Inc.","Manhattan","N/A","N/A"
"2021","YMCA of Greater New York/Corporate","Manhattan","60","69"
"2021","Little Sprouts Preschool, Inc.","Brooklyn","40","46"
"2021","YMCA of Greater New York/Flushing","Queens","100","102"
"2021","New York Edge, Inc.","Brooklyn","130","88"
"2021","Sunnyside Community Services Inc","Queens","163","172"
"2021","Central Astoria Local Development Coalition, Inc","Manhattan","N/A","N/A"
"2021","United Activities Unlimited, Inc.","Staten Island","90","113"
"2021","HANAC INC","Queens","N/A","N/A"
"2021","CAMBA, Inc.","Brooklyn","300","166"
"2021","Turning Point Brooklyn Inc","Brooklyn","N/A","N/A"
"2021","Jacob A. Riis Neighborhood Settlement","Queens","92","140"
"2021","Coalition for Hispanic Family Services","Brooklyn","120","150"
"2021","ST. NICKS ALLIANCE CORP.","Brooklyn","120","120"
"2021","Generation Citizen, Inc.","Manhattan","N/A","N/A"
"2021","APPLE TREE DAY CARE AC INC","Brooklyn","16","14"
"2021","New York Junior Tennis League Inc","Bronx","100","107"
"2021","Two Bridges Neighborhood Council, Inc.","Manhattan","N/A","N/A"
"2021","Under 21","Bronx","N/A","N/A"
"2021","The Young Womens Christian Association of Queens","Queens","90","94"
"2021","Partnership With Children, Inc.","Brooklyn","50","58"
"2021","Harriman Summer Camp, S-11","Queens","30","35"
"2021","Queens Community House, Inc.","Queens","31","60"
"2021","Center for the Integration and Advancement of New Americans","Queens","N/A","N/A"
"2021","The Children's Aid Society","Bronx","N/A","N/A"
"2021","Dominican Women's Development Center, Inc.","Manhattan","N/A","N/A"
"2021","Brooklyn Neighborhood Improvement Association","Brooklyn","N/A","N/A"
"2021","Kings Bay YM-YWHA, Inc.","Brooklyn","175","138"
"2021","Samuel Field YM & YWHA, Inc.","Queens","150","152"
"2021","The Young Women's Christian Association of the City of NY","Brooklyn","150","152"
"2021","Neighborhood Self-Help by Older Persons Projects, Inc.","Bronx","N/A","N/A"
"2021","The Young Airmans Association","Queens","N/A","N/A"
"2021","Brooklyn Bureau of Community Service","Brooklyn","136","105"
"2021","Yeshivath Kehilath Yakov, Inc.","Brooklyn","118","121"
"2021","Brooklyn Chinese American Association Inc","Brooklyn","150","152"
"2021","The Horticultural Society of New York","Manhattan","N/A","N/A"
"2021","Neighborhood Self-Help by Older Persons Projects, Inc.","Bronx","N/A","N/A"
"2021","Mosholu Montefiore Community Center, Inc.","Bronx","N/A","N/A"
"2021","New York Edge, Inc.","Brooklyn","91","44"
"2021","Rebuilding Together NYC","Brooklyn","N/A","N/A"
"2021","Public Prep Charter School Academies","Bronx","200","178"
"2021","Indochina Sino- American Senior Citizen Center Inc","Manhattan","N/A","N/A"
"2021","St Vincent's Services Inc","Brooklyn","217","194"
"2021","Jewish Institute of Queens","Queens","60","65"
"2021","Grand Street Settlement, Inc.","Brooklyn","40","30"
"2021","Riverdale Neighborhood House, Inc.","Bronx","40","68"
"2021","Queens Jewish Community Council, Inc.","Queens","N/A","N/A"
"2021","Good Shepherd Services","Brooklyn","N/A","N/A"
"2021","Henry Street Settlement","Manhattan","60","25"
"2021","Phipps Neighborhoods, Inc.","Bronx","N/A","N/A"
"2021","The Door-A Center of Alternatives, Inc","Bronx","130","73"
"2021","Community Mediation Services, Inc.","Queens","91","38"
"2021","NYC Parks & Recreation/The Arsenal","Queens","20","29"
"2021","LP Fam's Youth Organization, Inc","Queens","N/A","N/A"
"2021","The Child Center of NY Inc","Queens","N/A","N/A"
"2021","CAMBA, Inc.","Brooklyn","30","7"
"2021","SCAN-HARBOR INC","Manhattan","99","126"
"2021","Recreational Inner-City Sports & Education, Inc","Queens","N/A","N/A"
"2021","Friends of Crown Heights Educational Centers Inc","Brooklyn","60","44"
"2021","Masbia","Brooklyn","N/A","N/A"
"2021","Queens Community House, Inc.","Queens","120","130"
"2021","ST. NICKS ALLIANCE CORP.","Brooklyn","N/A","N/A"
"2021","New York Edge, Inc.","Queens","60","70"
"2021","BronxWorks, Inc.","Bronx","321","357"
"2021","Chinese-American Planning Council Inc","Queens","157","158"
"2021","Research Foundation of CUNY","Brooklyn","124","125"
"2021","The Children's Aid Society","Manhattan","N/A","N/A"
"2021","The Child Center of NY Inc","Queens","300","135"
"2021","Muslim Community Network","Manhattan","N/A","N/A"
"2021","Landmark West, Inc","Manhattan","N/A","N/A"
"2021","ST. NICKS ALLIANCE CORP.","Brooklyn","62","18"
"2021","Central City Chorus,","Manhattan","N/A","N/A"
"2021","Jewish Community Council of Greater Coney Island, Inc.","Staten Island","238","243"
"2021","East Side House, Inc.","Bronx","N/A","N/A"
"2021","Inwood Community Services, Inc.","Manhattan","167","163"
"2021","Truck's Roundball Classic, Inc","Staten Island","N/A","N/A"
"2021","Room to Grow National, Inc.","Manhattan","N/A","N/A"
"2021","Catholic Charities Community Services, Archdiocese of NY","Manhattan","N/A","N/A"
"2021","Brooklyn Chinese American Association Inc","Brooklyn","N/A","N/A"
"2021","Under 21","Bronx","N/A","N/A"
"2021","C C M S","Brooklyn","70","82"
"2021","Community Voices Heard, Inc","Manhattan","N/A","N/A"
"2021","Research Foundation of CUNY","Brooklyn","N/A","N/A"
"2021","CAMBA, Inc.","Brooklyn","150","75"
"2021","Southside Community Mission, Inc.","Brooklyn","N/A","N/A"
"2021","Community Mediation Services, Inc.","Queens","N/A","N/A"
"2021","ST. NICKS ALLIANCE CORP.","Brooklyn","N/A","N/A"
"2021","Ocean Bay Community Development Corporation","Queens","N/A","N/A"
"2021","Metropolitan College of New York","Manhattan","N/A","N/A"
"2021","I Challenge Myself, Inc","Bronx","15","13"
"2021","Roads to Success, Inc","Brooklyn","60","92"
"2021","New York Restoration Project","Manhattan","N/A","N/A"
"2021","Woodside On The Move, Inc.","Queens","157","101"
"2021","Police Athletic League, Inc.","Queens","N/A","N/A"
"2021","East Side House, Inc.","Bronx","90","79"
"2021","Jewish Community Center of Staten Island, Inc.","Staten Island","100","19"
"2021","Community League of the Heights, Inc.","Manhattan","N/A","N/A"
"2021","Jacob A. Riis Neighborhood Settlement","Queens","N/A","N/A"
"2021","Union Settlement Association Inc","Manhattan","100","100"
"2021","ST. NICKS ALLIANCE CORP.","Brooklyn","50","66"
"2021","New York Junior Tennis League Inc","Brooklyn","101","112"
"2021","South Asian Youth Action SAYA Inc","Brooklyn","37","28"
"2021","GLAAD, Inc.","Manhattan","N/A","N/A"
"2021","HANAC INC","Manhattan","N/A","N/A"
"2021","New York Edge, Inc.","Queens","120","123"
"2021","Community Health Action of Staten Island, Inc.","Staten Island","N/A","N/A"
"2021","Rising Ground Inc","Bronx","N/A","N/A"
"2021","Italian American Civil Rights League Canarsie Inc","Brooklyn","N/A","N/A"
"2021","The Campaign Against Hunger Inc","Brooklyn","N/A","N/A"
"2021","Child Development Ctr of the Mosholu Montefiore Comm Center","Manhattan","30","28"
"2021","Catholic Charities Neighborhood Services, Inc.","Queens","269","138"
"2021","University Settlement Society of New York","Brooklyn","130","133"
"2021","Aspira of New York, Inc.","Bronx","300","454"
"2021","United Jewish Organizations of Williamsburg, Inc","Brooklyn","78","0"
"2021","Ali Forney Center","Manhattan","N/A","N/A"
"2021","BronxWorks, Inc.","Bronx","N/A","N/A"
"2021","Edith & Carl Marks Jewish Community House of Bensonhurst Inc","Brooklyn","30","39"
"2021","South Bronx Overall Economic Development Corporation","Bronx","200","48"
"2021","Black Spectrum Theatre Company Inc","Queens","100","38"
"2021","Research Foundation of CUNY","Manhattan","N/A","N/A"
"2021","NIA Community Services Network Inc","Brooklyn","121","88"
"2021","BronxWorks, Inc.","Bronx","87","77"
"2021","Variety Boys and Girls Club of Queens Inc","Queens","N/A","N/A"
"2021","Edith & Carl Marks Jewish Community House of Bensonhurst Inc","Brooklyn","N/A","N/A"
"2021","Jewish Community Council of Greater Coney Island, Inc.","Brooklyn","238","243"
"2021","Fifth Avenue Committee, Inc.","Brooklyn","92","85"
"2021","Fifth Avenue Committee, Inc.","Brooklyn","N/A","N/A"
"2021","Team First, Inc.","Queens","50","56"
"2021","Asian Americans for Equality Inc","Manhattan","N/A","N/A"
"2021","Police Athletic League, Inc.","Staten Island","120","107"
"2021","Italian American Civil Rights League Canarsie Inc","Brooklyn","N/A","N/A"
"2021","New York Edge, Inc.","Queens","140","180"
"2021","Sheltering Arms Children and Family Services, Inc.","Queens","N/A","N/A"
"2021","The Child Center of NY Inc","Queens","300","57"
"2021","Woodhaven District Management Association, Inc.","Queens","N/A","N/A"
"2021","Flatbush Development Corporation","Brooklyn","140","153"
"2021","Learning Through An Expanded Arts Program, Inc.","Bronx","90","103"
"2021","SCO Family of Services","Brooklyn","N/A","N/A"
"2021","Neighborhood Initiatives Development Corporation","Bronx","100","49"
"2021","The Fortune Society, Inc.","Queens","117","49"
"2021","The Children's Aid Society","Bronx","N/A","N/A"
"2021","Southeast Bronx Neighborhood Centers Inc","Bronx","75","82"
"2021","Kings Bay Youth Organization, Inc.","Brooklyn","N/A","N/A"
"2021","City Year, Inc.","Manhattan","65","65"
"2021","Samuel Field YM & YWHA, Inc.","Queens","N/A","N/A"
"2021","CAMBA, Inc.","Brooklyn","147","63"
"2021","Sunnyside Community Services Inc","Queens","N/A","N/A"
"2021","Community Youth Care Services, Inc.","Queens","N/A","N/A"
"2021","New York Edge, Inc.","Brooklyn","90","77"
"2021","Metropolitan New York Coordinating Council on Jewish Poverty","Brooklyn","N/A","N/A"
"2021","Phipps Neighborhoods, Inc.","Bronx","N/A","N/A"
"2021","Victory Music & Dance Company Inc","Manhattan","N/A","N/A"
"2021","Chinatown District Management Association,Inc.","Manhattan","N/A","N/A"
"2021","New York City H2O, Inc.","Manhattan","N/A","N/A"
"2021","New York Edge, Inc.","Staten Island","104","168"
"2021","The Korean American Family Service Center, Inc.","Queens","N/A","N/A"
"2021","Hope Center Development Corporation","Brooklyn","N/A","N/A"
"2021","Northwest Bronx Community & Clergy Coalition, Inc","Bronx","N/A","N/A"
"2021","Police Athletic League, Inc.","Queens","300","41"
"2021","Union Settlement Association Inc","Manhattan","60","60"
"2021","Long Island University","Brooklyn","120","66"
"2021","Global Kids, Inc.","Brooklyn","50","40"
"2021","Bergen Basin Community Development Corporation","Brooklyn","N/A","N/A"
"2021","The Greater Ridgewood Youth Council, Inc.","Queens","150","156"
"2021","The Greater Ridgewood Youth Council, Inc.","Queens","40","46"
"2021","YMCA of Greater New York/Corporate","Brooklyn","100","93"
"2021","Westhab, Inc.","Bronx","120","120"
"2021","Xposure Foundation Inc.","Brooklyn","30","33"
"2021","Bergen Beach Youth Organization, Inc.","Brooklyn","150","153"
"2021","New York Restoration Project","Manhattan","N/A","N/A"
"2021","NYC Parks & Recreation/The Arsenal","Queens","20","13"
"2021","The Child Center of NY Inc","Queens","91","100"
"2021","Global Kids, Inc.","Brooklyn","30","36"
"2021","New York Edge, Inc.","Brooklyn","50","20"
"2021","Council of Jewish Organizations of Flatbush Inc","Brooklyn","N/A","N/A"
"2021","Friends of Wingate Park, Inc","Brooklyn","N/A","N/A"
"2021","Play Study Win Inc","Manhattan","189","151"
"2021","Harlem Dowling-West Side Ctr.For Children & Family Services","Manhattan","80","51"
"2021","Childrens Arts & Science Workshops, Inc.","Bronx","N/A","N/A"
"2021","Chinese-American Planning Council Inc","Manhattan","138","140"
"2021","YMCA of Greater New York/Vanderbilt","Manhattan","N/A","N/A"
"2021","Q Kingdom Ministries, Inc.","Staten Island","N/A","N/A"
"2021","City Year, Inc.","Queens","N/A","N/A"
"2021","Neighborhood Initiatives Development Corporation","Bronx","225","161"
"2021","The Children's Aid Society","Manhattan","140","75"
"2021","Catholic Charities Community Services, Archdiocese of NY","Manhattan","N/A","N/A"
"2021","Jewish Community Council of Greater Coney Island, Inc.","Staten Island","83","83"
"2021","Flatbush Development Corporation","Brooklyn","64","50"
"2021","The Trevor Project, Inc.","Brooklyn","N/A","N/A"
"2021","NYSARC INC NEW YORK CITY CHAPTER","Bronx","N/A","N/A"
"2021","New York Edge, Inc.","Brooklyn","91","75"
"2021","New York Center for Interpersonal Development Inc","Staten Island","60","53"
"2021","Girls Educational and Mentoring Services Inc. (GEMS)","Bronx","N/A","N/A"
"2021","Child Development Ctr of the Mosholu Montefiore Comm Center","Manhattan","300","73"
"2021","Simpson Street Development Association Inc","Bronx","300","332"
"2021","The Salvation Army","Brooklyn","46","40"
"2021","Bergen Beach Youth Organization, Inc.","Brooklyn","120","128"
"2021","Good Shepherd Services","Brooklyn","150","123"
"2021","DreamYard Project, Inc.","Bronx","75","54"
"2021","The Great Kills Little League, Inc.","Staten Island","N/A","N/A"
"2021","Muslim Women's Institute for Research and Development[MWIRD]","Bronx","N/A","N/A"
"2021","SCO Family of Services","Brooklyn","N/A","N/A"
"2021","YMCA of Greater New York / Dodge","Brooklyn","90","95"
"2021","The Harding Ford Vision Inc","Queens","N/A","N/A"
"2021","New York Junior Tennis League Inc","Brooklyn","100","124"
"2021","Aspira of New York, Inc.","Bronx","100","52"
"2021","Samuel Field YM & YWHA, Inc.","Queens","N/A","N/A"
"2021","Hartley House, Inc.","Manhattan","N/A","N/A"
"2021","Grand Street Settlement, Inc.","Manhattan","50","50"
"2021","ComuniLife, Inc.","Manhattan","N/A","N/A"
"2021","Prospect Heights Neighborhood Development Council, Inc","Brooklyn","N/A","N/A"
"2021","Chekpeds, Inc","Manhattan","N/A","N/A"
"2021","Directions For Our Youth, Inc.","Bronx","150","78"
"2021","Educational Video Center, Inc.","Manhattan","N/A","N/A"
"2021","One Stop Richmond Hill Community Center, Inc.","Queens","N/A","N/A"
"2021","Green Technology Club Corporation","Staten Island","N/A","N/A"
"2021","HANAC INC","Queens","300","160"
"2021","Education Through Music, Inc.","Bronx","N/A","N/A"
"2021","ACTS Community Development Corp","Brooklyn","N/A","N/A"
"2021","Child Development Ctr of the Mosholu Montefiore Comm Center","Bronx","168","131"
"2021","East Side House, Inc.","Bronx","250","136"
"2021","East Harlem Tutorial Program Inc","Manhattan","80","61"
"2021","Good Shepherd Services","Bronx","150","152"
"2021","New York harbor Foundation, Inc.","Brooklyn","N/A","N/A"
"2021","Girls Incorporated of New York City","Manhattan","113","116"
"2021","Jewish Community Council of Greater Coney Island, Inc.","Staten Island","83","83"
"2021","City Growers, Inc.","Brooklyn","30","28"
"2021","Grand Street Settlement, Inc.","Manhattan","90","92"
"2021","ODYSSEY DAY CARE LLC","Bronx","10","4"
"2021","Childrens Arts & Science Workshops, Inc.","Bronx","N/A","N/A"
"2021","Brooklyn Chinese American Association Inc","Brooklyn","560","539"
"2021","Brienza's Educare","Brooklyn","103","99"
"2021","ST. NICKS ALLIANCE CORP.","Brooklyn","N/A","N/A"
"2021","Fund for the City of New York, Inc.","Brooklyn","N/A","N/A"
"2021","School Settlement Association","Brooklyn","20","22"
"2021","The Child Center of NY Inc","Queens","50","30"
"2021","Madison Square Boys & Girls Club Inc","Brooklyn","20","36"
"2021","Bridge Street Development Corporation","Brooklyn","N/A","N/A"
"2021","Brooks Memorial United Methodist Church","Queens","N/A","N/A"
"2021","New York Edge, Inc.","Bronx","91","50"
"2021","East Side House, Inc.","Manhattan","N/A","N/A"
"2021","New York City H2O, Inc.","Manhattan","N/A","N/A"
"2021","Council of Jewish Organizations of Flatbush Inc","Brooklyn","N/A","N/A"
"2021","BronxWorks, Inc.","Bronx","45","30"
"2021","The Child Center of NY Inc","Queens","157","160"
"2021","Global Kids, Inc.","Queens","52","56"
"2021","Madison Square Boys & Girls Club Inc","Brooklyn","61","65"
"2021","Heights-Hill Mental Health Svc SBPC Community Advisory Board","Brooklyn","N/A","N/A"
"2021","The Door-A Center of Alternatives, Inc","Bronx","N/A","N/A"
"2021","VISIONS Services for the Blind & Visually Impaired","Manhattan","N/A","N/A"
"2021","New York Edge, Inc.","Brooklyn","120","129"
"2021","Entertainers For Education Alliance, Inc.","Brooklyn","N/A","N/A"
"2021","New York Junior Tennis League Inc","Bronx","90","92"
"2021","Mosholu Montefiore Community Center, Inc.","Bronx","133","134"
"2021","The B.E..L.L. Foundation, Inc.","Bronx","151","89"
"2021","Greenhope Services For Women, Inc.","Manhattan","N/A","N/A"
"2021","Safe Horizon, Inc","Manhattan","N/A","N/A"
"2021","Research Foundation of CUNY","Queens","N/A","N/A"
"2021","Catholic Charities Community Services, Archdiocese of NY","Manhattan","30","15"
"2021","Manhattan Youth Recreation and Resources, Inc.","Manhattan","225","460"
"2021","Bridge Street Development Corporation","Brooklyn","N/A","N/A"
"2021","Jewish Community Council of Greater Coney Island, Inc.","Queens","238","243"
"2021","Mosholu Montefiore Community Center, Inc.","Bronx","30","26"
"2021","C C M S","Brooklyn","N/A","N/A"
"2021","Grand Street Settlement, Inc.","Brooklyn","16","13"
"2021","The Central Family Life Center, Inc.","Staten Island","N/A","N/A"
"2021","Coalition for the Homeless, Inc.","Manhattan","N/A","N/A"
"2021","Jacob A. Riis Neighborhood Settlement","Queens","171","258"
"2021","Boys & Girls Club of Metro Queens, Inc","Queens","75","76"
"2021","Union Settlement Association Inc","Manhattan","55","33"
"2021","Make the Road New York","Queens","120","132"
"2021","Broadway Mall Asscciation Inc","Manhattan","N/A","N/A"
"2021","NIA Community Services Network Inc","Staten Island","135","58"
"2021","ST. NICKS ALLIANCE CORP.","Brooklyn","N/A","N/A"
"2021","C C M S","Brooklyn","N/A","N/A"
"2021","New York City H2O, Inc.","Manhattan","N/A","N/A"
"2021","Catholic Charities Neighborhood Services, Inc.","Brooklyn","157","154"
"2021","Center for Community Alternatives, Inc","Bronx","106","91"
"2021","New York Edge, Inc.","Bronx","100","100"
"2021","Douglaston and Litle Neck Historical Society","Queens","N/A","N/A"
"2021","Grand Street Settlement, Inc.","Brooklyn","100","108"
"2021","Stanley M Isaacs Neighborhood Center Inc","Manhattan","300","96"
"2021","Phyl's Day Care Center, Inc.","Brooklyn","120","36"
"2021","Staten Island Historical Society","Staten Island","N/A","N/A"
"2021","SCO Family of Services","Brooklyn","300","71"
"2021","Phipps Neighborhoods, Inc.","Bronx","61","61"
"2021","Weeks Educational and Social Advocacy Project, Inc.","Staten Island","N/A","N/A"
"2021","The Child Center of NY Inc","Queens","150","151"
"2021","NYC Parks & Recreation/The Arsenal","Manhattan","52","8"
"2021","Girls Who Code, Inc.","Manhattan","N/A","N/A"
"2021","Cypress Hills Local Development Corporation, Inc.","Brooklyn","N/A","N/A"
"2021","Kips Bay Boys and Girls Club Inc","Bronx","157","95"
"2021","Child Development Ctr of the Mosholu Montefiore Comm Center","Bronx","N/A","N/A"
"2021","Kips Bay Boys and Girls Club Inc","Bronx","100","108"
"2021","The Child Center of NY Inc","Queens","105","105"
"2021","Bameso USA","Manhattan","N/A","N/A"
"2021","University Settlement Society of New York","Brooklyn","N/A","N/A"
"2021","Jewish Community Council of Greater Coney Island, Inc.","Brooklyn","238","243"
"2021","Jewish Community Center of Staten Island, Inc.","Staten Island","35","35"
"2021","Cardinal McCloskey School and Home for Children","Bronx","N/A","N/A"
"2021","The Greater Ridgewood Youth Council, Inc.","Queens","50","26"
"2021","YMCA of Greater New York/Harlem Branch","Manhattan","120","140"
"2021","Grand Street Settlement, Inc.","Brooklyn","244","179"
"2021","Figure Skating in Harlem , Inc.","Manhattan","N/A","N/A"
"2021","Jewish Community Council of Greater Coney Island, Inc.","Bronx","238","243"
"2021","YMCA of Greater NewYork-Bronx YMCA","Bronx","90","90"
"2021","New York City H2O, Inc.","Manhattan","N/A","N/A"
"2021","The Crenulated Company LTD","Bronx","N/A","N/A"
"2021","Grand Street Settlement, Inc.","Brooklyn","N/A","N/A"
"2021","YMCA of Greater New York/Corporate","Brooklyn","150","41"
"2021","Chinese-American Planning Council Inc","Manhattan","157","163"
"2021","New York Edge, Inc.","Brooklyn","157","130"
"2021","BronxWorks, Inc.","Bronx","N/A","N/A"
"2021","South Asian Youth Action SAYA Inc","Queens","150","93"
"2021","Street Soccer USA, Inc.","Brooklyn","N/A","N/A"
"2021","The Greater Ridgewood Youth Council, Inc.","Queens","300","259"
"2021","Beam Center Inc","Brooklyn","N/A","N/A"
"2021","BronxWorks, Inc.","Bronx","N/A","N/A"
"2021","Coastal Preservation Network","Queens","N/A","N/A"
"2021","The Child Center of NY Inc","Queens","40","53"
"2021","East Side House, Inc.","Bronx","125","41"
"2021","Sadie Nash Leadership Project Inc","Manhattan","N/A","N/A"
"2021","University Settlement Society of New York","Brooklyn","N/A","N/A"
"2021","The Campaign Against Hunger Inc","Brooklyn","N/A","N/A"
"2021","Bank Street College of Education","Queens","N/A","N/A"
"2021","Catholic Charities Community Services, Archdiocese of NY","Manhattan","92","103"
"2021","Mosholu Montefiore Community Center, Inc.","Bronx","N/A","N/A"
"2021","Chinese-American Planning Council Inc","Manhattan","N/A","N/A"
"2021","YMCA of Greater New York/Flushing","Queens","150","47"
"2021","Good Shepherd Services","Manhattan","N/A","N/A"
"2021","Child Development Ctr of the Mosholu Montefiore Comm Center","Bronx","N/A","N/A"
"2021","St. Stanislaus Roman Catholic Church","Queens","N/A","N/A"
"2021","Edith & Carl Marks Jewish Community House of Bensonhurst Inc","Brooklyn","100","124"
"2021","Red Hook Initiative, Inc.","Brooklyn","40","21"
"2021","Research Foundation of CUNY","Bronx","N/A","N/A"
"2021","Mosholu Montefiore Community Center, Inc.","Bronx","N/A","N/A"
"2021","Neighborhood Initiatives Development Corporation","Bronx","180","18"
"2021","Child Development Ctr of the Mosholu Montefiore Comm Center","Bronx","150","159"
"2021","HANAC INC","Queens","N/A","N/A"
"2021","The Child Center of NY Inc","Queens","120","126"
"2021","Bedford Stuyvesant Restoration Corp","Brooklyn","N/A","N/A"
"2021","United Activities Unlimited, Inc.","Staten Island","N/A","N/A"
"2021","Make the Road New York","Queens","83","0"
"2021","Mosholu Montefiore Community Center, Inc.","Bronx","100","89"
"2021","P2L Pathways to Leadership Inc","Brooklyn","95","88"
"2021","United Activities Unlimited, Inc.","Staten Island","N/A","N/A"
"2021","Hands In 4 Youth Inc","Bronx","91","25"
"2021","The Crenulated Company LTD","Bronx","N/A","N/A"
"2021","El Barrio's Operation Fightback, Inc.","Manhattan","N/A","N/A"
"2021","Mercy Center Inc","Bronx","154","161"
"2021","Summer Search","Manhattan","N/A","N/A"
"2021","Pride Center of Staten Island, Inc.","Staten Island","N/A","N/A"
"2021","Kwatny Foundation Inc","Brooklyn","N/A","N/A"
"2021","NYC Parks & Recreation/The Arsenal","Bronx","30","2"
"2021","Working In Support of Education","Brooklyn","30","43"
"2021","Directions For Our Youth, Inc.","Bronx","73","76"
"2021","APEX For Youth Inc","Manhattan","91","74"
"2021","YMCA of Greater New York/Bedford Stuyvesant","Brooklyn","45","41"
"2021","Partnership With Children, Inc.","Brooklyn","50","53"
"2021","YMCA of Greater New York/Corporate","Queens","120","52"
"2021","Imeinu, Inc.","Brooklyn","N/A","N/A"
"2021","United Activities Unlimited, Inc.","Staten Island","109","66"
"2021","Coalition for the Homeless, Inc.","Manhattan","N/A","N/A"
"2021","New York Junior Tennis League Inc","Bronx","80","40"
"2021","YMCA of Greater New York/Corporate","Brooklyn","105","58"
"2021","Entertainers For Education Alliance, Inc.","Brooklyn","N/A","N/A"
"2021","The Armory Foundation","Manhattan","N/A","N/A"
"2021","Westhab, Inc.","Bronx","65","56"
"2021","YMCA of Greater New York - Virtual Y","Manhattan","75","16"
"2021","Seeds in the Middle Inc","Brooklyn","N/A","N/A"
"2021","Claremont Neighborhood Centers, Inc.","Bronx","90","133"
"2021","Uptown Soccer, Inc.","Manhattan","N/A","N/A"
"2021","Samuel Field YM & YWHA, Inc.","Queens","300","488"
"2021","Edible Schoolyard New York","Brooklyn","N/A","N/A"
"2021","Girls Incorporated of New York City","Brooklyn","25","25"
"2021","Jewish Community Council of Pelham Parkway, Inc.","Bronx","N/A","N/A"
"2021","Comprehensive Academics Tutoring Services","Brooklyn","N/A","N/A"
"2021","Jewish Institute of Queens","Queens","75","77"
"2021","Hebrew Educational Society of Brooklyn","Brooklyn","N/A","N/A"
"2021","SCAN-HARBOR INC","Manhattan","136","137"
"2021","Korean Community Services of Metropolitan New York, Inc.","Queens","92","81"
"2021","South Bronx Concerned Citizens, Inc.","Bronx","N/A","N/A"
"2021","Jewish Community Center of Staten Island, Inc.","Staten Island","150","222"
"2021","SCO Family of Services","Brooklyn","N/A","N/A"
"2021","Staten island United Federation Baseball, Inc.","Staten Island","N/A","N/A"
"2021","ST. NICKS ALLIANCE CORP.","Brooklyn","300","551"
"2021","Brooklyn Bureau of Community Service","Brooklyn","120","53"
"2021","United Activities Unlimited, Inc.","Staten Island","100","107"
"2021","Brooklyn Chinese American Association Inc","Brooklyn","115","127"
"2021","Research Foundation of CUNY","Bronx","175","176"
"2021","Learning Through An Expanded Arts Program, Inc.","Brooklyn","70","107"
"2021","Good Shepherd Services","Brooklyn","N/A","N/A"
"2021","Bridge Street Development Corporation","Brooklyn","N/A","N/A"
"2021","YM-YWHA of Washington Heights Inwood","Manhattan","104","93"
"2021","Chinese-American Planning Council Inc","Manhattan","110","109"
"2021","Part of the Solution","Bronx","N/A","N/A"
"2021","Non Traditional Employment for Women","Manhattan","N/A","N/A"
"2021","The Educational Alliance, Inc.","Manhattan","N/A","N/A"
"2021","Project Hospitality, Inc","Staten Island","N/A","N/A"
"2021","The Children's Village","Manhattan","144","197"
"2021","Child Development Ctr of the Mosholu Montefiore Comm Center","Bronx","20","14"
"2021","New York Edge, Inc.","Staten Island","190","249"
"2021","NYC Parks & Recreation/The Arsenal","Manhattan","30","47"
"2021","Manhattan Youth Recreation and Resources, Inc.","Manhattan","300","635"
"2021","Infinity Educational Programs, Inc.","Staten Island","N/A","N/A"
"2021","Jacob A. Riis Neighborhood Settlement","Queens","60","17"
"2021","KIPP NYC Public Charter Schools II","Manhattan","129","146"
"2021","RiseBoro Community Partnership Inc","Brooklyn","150","156"
"2021","The Lower Eastside Girls Club of New York Inc","Manhattan","50","71"
"2021","Taiwan Center, Inc","Queens","N/A","N/A"
"2021","Samuel Field YM & YWHA, Inc.","Queens","90","141"
