"FiscalYear","Provider","Borough","TotalSlots","TotalParticipants"
"2021","Southeast Bronx Neighborhood Centers Inc","Bronx","N/A","N/A"
"2021","Sunnyside Community Services Inc","Queens","N/A","N/A"
"2021","Childrens Arts & Science Workshops, Inc.","Bronx","60","75"
"2021","Samuel Field YM & YWHA, Inc.","Queens","45","50"
"2021","Research Foundation of CUNY","Brooklyn","300","23"
"2021","New Alternatives for Children, Inc","Manhattan","N/A","N/A"
"2021","Good Shepherd Services","Bronx","75","39"
"2021","Jacob A. Riis Neighborhood Settlement","Queens","82","114"
"2021","El Puente De Williamsburg, Inc.","Brooklyn","30","26"
"2021","New York City Alliance Against Sexual Assault","Manhattan","N/A","N/A"
"2021","Jacob A. Riis Neighborhood Settlement","Queens","171","258"
"2021","RAJE-USA, Inc.","Brooklyn","N/A","N/A"
"2021","Council of Jewish Organizations of Flatbush Inc","Brooklyn","220","125"
"2021","SCAN-HARBOR INC","Manhattan","300","44"
"2021","Center for the Women of New York","Queens","N/A","N/A"
"2021","Coalition for Hispanic Family Services","Queens","120","162"
"2021","Kingsbridge Heights Community Center Inc","Bronx","201","143"
"2021","YMCA of Greater New York/Greenpoint","Brooklyn","60","45"
"2021","Yeshivath Kehilath Yakov, Inc.","Brooklyn","100","102"
"2021","New York Edge, Inc.","Brooklyn","101","114"
"2021","Jewish Community Council of Greater Coney Island, Inc.","Staten Island","83","83"
"2021","Brooklyn Chinese American Association Inc","Brooklyn","N/A","N/A"
"2021","Bergen Basin Community Development Corporation","Brooklyn","N/A","N/A"
"2021","East Side House, Inc.","Bronx","N/A","N/A"
"2021","Inwood Community Services, Inc.","Manhattan","90","66"
"2021","Good Shepherd Services","Brooklyn","60","64"
"2021","Committee for Environmentally Sound Development Inc","Manhattan","N/A","N/A"
"2021","Cypress Hills Local Development Corporation, Inc.","Brooklyn","134","145"
"2021","Green Guerillas, Inc.","Brooklyn","N/A","N/A"
"2021","SCO Family of Services","Brooklyn","156","166"
"2021","The Young Womens Christian Association of Queens","Queens","60","61"
"2021","Jewish Community Council of Greater Coney Island, Inc.","Staten Island","83","83"
"2021","Global Kids, Inc.","Brooklyn","N/A","N/A"
"2021","Brooklyn Chinese American Association Inc","Brooklyn","150","162"
"2021","New York Edge, Inc.","Brooklyn","115","115"
"2021","Town Square, Inc.","Brooklyn","N/A","N/A"
"2021","Brooklyn Chinese American Association Inc","Brooklyn","150","182"
"2021","RiseBoro Community Partnership Inc","Brooklyn","40","47"
"2021","Sunnyside Community Services Inc","Queens","167","82"
"2021","Cypress Hills Local Development Corporation, Inc.","Brooklyn","N/A","N/A"
"2021","Catholic Charities Community Services, Archdiocese of NY","Bronx","N/A","N/A"
"2021","Young Peoples Chorus of New York City Inc","Manhattan","N/A","N/A"
"2021","Muslim Community Network","Manhattan","N/A","N/A"
"2021","Inwood Community Services, Inc.","Manhattan","N/A","N/A"
"2021","Rising Ground Inc","Bronx","N/A","N/A"
"2021","Core Services Group, Inc.","Brooklyn","N/A","N/A"
"2021","Brooklyn Academy of Music","Brooklyn","N/A","N/A"
"2021","United Jewish Organizations of Williamsburg, Inc","Brooklyn","78","0"
"2021","Council of Jewish Organizations of Flatbush Inc","Brooklyn","N/A","N/A"
"2021","Dominican Women's Development Center, Inc.","Manhattan","N/A","N/A"
"2021","Kiddies World Inc","Queens","25","18"
"2021","The Young Women's Christian Association of the City of NY","Brooklyn","160","161"
"2021","Childrens Arts & Science Workshops, Inc.","Bronx","309","841"
"2021","Project Renewal","Manhattan","N/A","N/A"
"2021","Child Development Ctr of the Mosholu Montefiore Comm Center","Bronx","115","117"
"2021","New York Junior Tennis League Inc","Bronx","N/A","N/A"
"2021","Child Development Ctr of the Mosholu Montefiore Comm Center","Bronx","N/A","N/A"
"2021","YMCA of Greater New York/Jamaica Branch","Queens","100","100"
"2021","JUMP-IN ENRICHMENT INC","Staten Island","N/A","N/A"
"2021","Neighborhood Self-Help by Older Persons Projects, Inc.","Bronx","N/A","N/A"
"2021","Child Development Ctr of the Mosholu Montefiore Comm Center","Bronx","45","6"
"2021","Catholic Charities Community Services, Archdiocese of NY","Manhattan","N/A","N/A"
"2021","Chinese-American Planning Council Inc","Brooklyn","N/A","N/A"
"2021","Kips Bay Boys and Girls Club Inc","Bronx","125","180"
"2021","Westhab, Inc.","Manhattan","90","64"
"2021","Van Cortlandt Titans Youth Football Program","Bronx","N/A","N/A"
"2021","Mosholu Montefiore Community Center, Inc.","Bronx","N/A","N/A"
"2021","Art Transforms, Inc.","Queens","N/A","N/A"
"2021","South Bronx Overall Economic Development Corporation","Bronx","N/A","N/A"
"2021","Xposure Foundation Inc.","Bronx","90","100"
"2021","New York University","Bronx","N/A","N/A"
"2021","Public Prep Charter School Academies","Manhattan","110","81"
"2021","Building 13 Association Inc","Bronx","N/A","N/A"
"2021","Center for Community Alternatives, Inc","Brooklyn","35","105"
"2021","Good Shepherd Services","Bronx","N/A","N/A"
"2021","Acad of Little Leaders DayCare Inc.","Queens","73","12"
"2021","Global Kids, Inc.","Brooklyn","121","125"
"2021","ST. NICKS ALLIANCE CORP.","Brooklyn","138","100"
"2021","Publicolor, Inc.","Manhattan","N/A","N/A"
"2021","Southern Queens Park Association,Inc.","Queens","25","18"
"2021","Harvest Home Farmers Market Inc","Manhattan","N/A","N/A"
"2021","La Casa de la Herencia Cultural Puertorriquena, Inc.","Manhattan","N/A","N/A"
"2021","Research Foundation of CUNY/ CUNY Creative Arts Team","Queens","20","3"
"2021","Brooklyn Bridge Park Conservancy, Inc.","Brooklyn","N/A","N/A"
"2021","RAVENS EARLY CHILDHOOD EDUCATION CENTER INC","Brooklyn","20","5"
"2021","Directions For Our Youth, Inc.","Bronx","91","88"
"2021","YM-YWHA of Washington Heights Inwood","Manhattan","N/A","N/A"
"2021","New York Junior Tennis League Inc","Bronx","113","126"
"2021","SCO Family of Services","Brooklyn","N/A","N/A"
"2021","New York Edge, Inc.","Brooklyn","91","99"
"2021","Make the Road New York","Queens","129","0"
"2021","Aspira of New York, Inc.","Bronx","120","47"
"2021","El Barrio's Operation Fightback, Inc.","Manhattan","N/A","N/A"
"2021","PowerPlay NYC, Inc.","Manhattan","N/A","N/A"
"2021","New York Edge, Inc.","Brooklyn","90","94"
"2021","SCAN-HARBOR INC","Bronx","157","100"
"2021","Aspira of New York, Inc.","Bronx","60","39"
"2021","Tribecarts, Inc.","Manhattan","N/A","N/A"
"2021","Mosholu Montefiore Community Center, Inc.","Bronx","N/A","N/A"
"2021","Sadie Nash Leadership Project Inc","Manhattan","N/A","N/A"
"2021","El Barrio's Operation Fightback, Inc.","Manhattan","N/A","N/A"
"2021","Community Association of Progressive Dominicans Inc","Bronx","N/A","N/A"
"2021","Claremont Neighborhood Centers, Inc.","Bronx","N/A","N/A"
"2021","Maspeth Town Hall, Inc.","Queens","85","108"
"2021","The Children's Aid Society","Manhattan","N/A","N/A"
"2021","University Settlement Society of New York","Brooklyn","150","97"
"2021","The Children's Aid Society","Bronx","N/A","N/A"
"2021","BETHESDA COMMUNITY DEVELOPMENT CENTER INCORPORATED","Brooklyn","30","6"
"2021","New York Edge, Inc.","Bronx","120","171"
"2021","Chinese-American Planning Council Inc","Manhattan","50","56"
"2021","Entertainers For Education Alliance, Inc.","Brooklyn","N/A","N/A"
"2021","NYSARC INC NEW YORK CITY CHAPTER","Staten Island","N/A","N/A"
"2021","Italian American Civil Rights League Canarsie Inc","Brooklyn","N/A","N/A"
"2021","St. Ann's Corner of Harm Reduction, Inc.","Bronx","N/A","N/A"
"2021","New York Junior Tennis League Inc","Bronx","100","101"
"2021","Good Shepherd Services","Bronx","95","55"
"2021","ST. NICKS ALLIANCE CORP.","Brooklyn","150","60"
"2021","Project Hope - The New Direction, Inc.","Queens","N/A","N/A"
"2021","Hudson Guild","Manhattan","90","45"
"2021","Renaissance Charter School","Queens","N/A","N/A"
"2021","The Child Center of NY Inc","Queens","222","102"
"2021","Brooklyn Ivy Preparatory","Brooklyn","80","12"
"2021","Sheltering Arms Children and Family Services, Inc.","Queens","N/A","N/A"
"2021","Fulton Market Association, Inc","Queens","N/A","N/A"
"2021","Research Foundation of CUNY","Brooklyn","300","88"
"2021","Phipps Neighborhoods, Inc.","Bronx","50","51"
"2021","Cypress Hills Local Development Corporation, Inc.","Brooklyn","180","185"
"2021","New York Junior Tennis League Inc","Brooklyn","90","95"
"2021","Research Foundation of CUNY","Brooklyn","300","177"
"2021","Grand Street Settlement, Inc.","Brooklyn","109","122"
"2021","Community Association of Progressive Dominicans Inc","Bronx","176","122"
"2021","Inwood Community Services, Inc.","Manhattan","N/A","N/A"
"2021","BronxWorks, Inc.","Bronx","30","34"
"2021","Chinese-American Planning Council Inc","Manhattan","N/A","N/A"
"2021","Cypress Hills Local Development Corporation, Inc.","Brooklyn","105","38"
"2021","Community Mediation Services, Inc.","Queens","91","45"
"2021","SCAN-HARBOR INC","Manhattan","90","90"
"2021","New York Edge, Inc.","Brooklyn","99","43"
"2021","Shorefront YM-YWHA of Brighton-Manhattan Beach, Inc","Brooklyn","295","302"
"2021","Food Bank for New York City","Manhattan","N/A","N/A"
"2021","Catholic Charities Community Services, Archdiocese of NY","Manhattan","N/A","N/A"
"2021","Boys and Girls Club of Harlem, Inc.","Manhattan","55","46"
"2021","Cypress Hills Local Development Corporation, Inc.","Brooklyn","N/A","N/A"
"2021","BronxWorks, Inc.","Bronx","N/A","N/A"
"2021","Charles B. Wang Community Health Center, Inc.","Manhattan","N/A","N/A"
"2021","Federation of Italian-American Organizations of Brooklyn LTD","Brooklyn","300","155"
"2021","United Activities Unlimited, Inc.","Staten Island","N/A","N/A"
"2021","Xposure Foundation Inc.","Bronx","150","178"
"2021","Coalition for Hispanic Family Services","Brooklyn","157","158"
"2021","New York Common Pantry Inc","Bronx","N/A","N/A"
"2021","Child Development Ctr of the Mosholu Montefiore Comm Center","Bronx","109","188"
"2021","Morningside Center for Teaching Social Responsibility, Inc.","Bronx","120","15"
"2021","SCAN-HARBOR INC","Manhattan","300","167"
"2021","Child Development Ctr of the Mosholu Montefiore Comm Center","Bronx","130","132"
"2021","Jewish Community Council of Greater Coney Island, Inc.","Brooklyn","238","243"
"2021","NYC Parks & Recreation/The Arsenal","Brooklyn","60","20"
"2021","Club A-Elita, Inc.","Brooklyn","N/A","N/A"
"2021","Jewish Community Council of Greater Coney Island, Inc.","Brooklyn","N/A","N/A"
